Name	Set	ImageFile	Type	Bonus	Slot	Value	Card	Text
Acro Bats	Bites	bites_door001,bitesdoorback	Door	--	--	--	--	text
Adroitosity	Bites	bites_door002,bitesdoorback	Door	--	--	--	--	text
Aluminum Bat	Bites	bites_door003,bitesdoorback	Door	--	--	--	--	text
Asmodeus	Bites	bites_door004,bitesdoorback	Door	--	--	--	--	text
Aura of Good	Bites	bites_door005,bitesdoorback	Door	--	--	--	--	text
Banshee	Bites	bites_door006,bitesdoorback	Door	--	--	--	--	text
Baseball Bats	Bites	bites_door007,bitesdoorback	Door	--	--	--	--	text
Beguilement	Bites	bites_door008,bitesdoorback	Door	--	--	--	--	text
Boggart	Bites	bites_door009,bitesdoorback	Door	--	--	--	--	text
Brick Bat	Bites	bites_door010,bitesdoorback	Door	--	--	--	--	text
Cat Bats	Bites	bites_door011,bitesdoorback	Door	--	--	--	--	text
Celeritousness	Bites	bites_door012,bitesdoorback	Door	--	--	--	--	text
Chaffery	Bites	bites_door013,bitesdoorback	Door	--	--	--	--	text
Changeling1	Bites	bites_door014,bitesdoorback	Door	--	--	--	--	text
Changeling2	Bites	bites_door015,bitesdoorback	Door	--	--	--	--	text
Changeling3	Bites	bites_door016,bitesdoorback	Door	--	--	--	--	text
Cheat!	Bites	bites_door017,bitesdoorback	Door	--	--	--	--	text
Corrupt	Bites	bites_door018,bitesdoorback	Door	--	--	--	--	text
Cultist Minion	Bites	bites_door019,bitesdoorback	Door	--	--	--	--	text
Curse! Change Race	Bites	bites_door020,bitesdoorback	Door	--	--	--	--	text
Curse! Change Sex	Bites	bites_door021,bitesdoorback	Door	--	--	--	--	text
Curse! LARP Eats Your Brain	Bites	bites_door022,bitesdoorback	Door	--	--	--	--	text
Curse! Lose 1 Big Item	Bites	bites_door023,bitesdoorback	Door	--	--	--	--	text
Curse! Lose 1 Small Item	Bites	bites_door024,bitesdoorback	Door	--	--	--	--	text
Curse! Lose A Power1	Bites	bites_door025,bitesdoorback	Door	--	--	--	--	text
Curse! Lose A Power2	Bites	bites_door026,bitesdoorback	Door	--	--	--	--	text
Curse! Lose the Armor You Are Wearing	Bites	bites_door027,bitesdoorback	Door	--	--	--	--	text
Curse! Lose the Footgear You Are Wearing	Bites	bites_door028,bitesdoorback	Door	--	--	--	--	text
Curse! Lose the Headgear You Are Wearing	Bites	bites_door029,bitesdoorback	Door	--	--	--	--	text
Curse! Lose Your Race	Bites	bites_door030,bitesdoorback	Door	--	--	--	--	text
Curse! Muenster We Are, Yet Muenster We Become	Bites	bites_door031,bitesdoorback	Door	--	--	--	--	text
Curse! Powers Change	Bites	bites_door032,bitesdoorback	Door	--	--	--	--	text
Curse! The Universe Hates You!	Bites	bites_door033,bitesdoorback	Door	--	--	--	--	text
Ding Bats	Bites	bites_door034,bitesdoorback	Door	--	--	--	--	text
Dominion	Bites	bites_door035,bitesdoorback	Door	--	--	--	--	text
Enthrallment	Bites	bites_door036,bitesdoorback	Door	--	--	--	--	text
Evil Twin	Bites	bites_door037,bitesdoorback	Door	--	--	--	--	text
Eyelash Bat	Bites	bites_door038,bitesdoorback	Door	--	--	--	--	text
False Seeming	Bites	bites_door039,bitesdoorback	Door	--	--	--	--	text
Fascination	Bites	bites_door040,bitesdoorback	Door	--	--	--	--	text
Fat Bat	Bites	bites_door041,bitesdoorback	Door	--	--	--	--	text
Fluffy	Bites	bites_door042,bitesdoorback	Door	--	--	--	--	text
Form of Mist	Bites	bites_door043,bitesdoorback	Door	--	--	--	--	text
Frank Limejello	Bites	bites_door044,bitesdoorback	Door	--	--	--	--	text
Fruit Bats	Bites	bites_door045,bitesdoorback	Door	--	--	--	--	text
Generic Minion	Bites	bites_door046,bitesdoorback	Door	--	--	--	--	text
Gregor	Bites	bites_door047,bitesdoorback	Door	--	--	--	--	text
Half-Breed1	Bites	bites_door048,bitesdoorback	Door	--	--	--	--	text
